Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P1102	The flattening of a spherical body.	flattening (Q212750)	any astronomic spherical object (astronomical object (Q6999))	0 < flattening < 1 (note: this should be moved to the property statements)	Earth (Q2) ? 0.0033528	Number
P1344	event or sport competition the person or the organisation took part in	null	human (Q5), group of humans (Q16334295), organization (Q43229)	type(s) d'éléments liés (modèle Q ou texte), liste ou intervalle de valeurs permises, format de chaîne de caractères... (note: this should be moved to the property statements)	According to this template: Alberto Tomba (Q1950)=> 1992 Winter Olympics (Q9660) Thierry Dusautoir (Q1349233)=> 2012–13 Top 14 season (Q7058) Portugal national football team (Q267245)=> 2014 FIFA World Cup (Q79859) According to statements in the property: Alberto Tomba (Q1950) ? 1992 Winter Olympics (Q9660) Thierry Dusautoir (Q1349233) ? 2012–13 Top 14 season (Q7058) Portugal national football team (Q267245) ? 2014 FIFA World Cup (Q79859) When possible, data should only be stored as statements	Item
P1103	The number of platforms	null	railway stations	positive integers, smaller than 50 (note: this should be moved to the property statements)	MISSING	Number
P1345	put English description for property here, e.g. same as in the infobox documentation	null	Serial killers	null	According to this template: Jack the Ripper (Q43963) --> 5 According to statements in the property: Eric Borel (Q473870) ? 15 When possible, data should only be stored as statements	Number
P1100	quantity of cylinders utilized in a piston engine design - cylinder (Q245656)	null	piston engines - reciprocating engine (Q630010)	positive integers (note: this should be moved to the property statements)	Gnome-Rhône Mistral Major (Q902691) ? 14	Number
P1221	type of compressor - gas compressor (Q178898)	null	jet engines - types of aircraft engine (Q743004)	types of gas compressor (Q178898) (note: this should be moved to the property statements)	According to this template: Westinghouse J30 (Q7988946) => compressor => axial compressor (Q742777) According to statements in the property: Westinghouse J30 (Q7988946) ? axial compressor (Q742777) When possible, data should only be stored as statements	Item
P1342	Number of members/seats in an assembly (legislative house or similar)	null	Assemblies (organizations)	Any natural number (note: this should be moved to the property statements)	According to this template: United States Senate (Q66096) => 100 According to statements in the property: United States Senate (Q66096) ? 100 When possible, data should only be stored as statements	Number
P1101	Number of floors of a building	null	architectural structure (Q811979), mainly buildings	between 0 and, say 300 (note: this should be moved to the property statements)	Empire State Building (Q9188) ? 102	Number
P1343	The enumeration of sources where item is described. Dictionary, encyclopedia, etc. Qualificator stated in (P248) shall be used for links to particular article in Wikisource and reference URL (P854) for external reference. Recommended only for printed dictionaries and encyclopedias (including present at Wikisource or their own website). For sites like Internet Movie Database (Q37312) there are additional properties like IMDb ID (P345)	null	any item	Great Soviet Encyclopedia (Q234535), Brockhaus and Efron Encyclopedic Dictionary (Q602358), 1911 Encyclopædia Britannica (Q867541), Russian Biographical Dictionary (Q1960551); any other value, depicting valuable source of information (note: this should be moved to the property statements)	According to this template: print Vladimir K. Zworykin (Q296545) ? Brockhaus Enzyklopädie (19 ed.) (Q17377889) with qualifiers volume (P478): "24", page (P304): "672" and section, verse, or paragraph (P958): "Zworykin, Wladimir Kosma". item New York City (Q60) ? Brockhaus and Efron Encyclopedic Dictionary (Q602358) with qualifier stated in (P248) with value BaEED / New-York (Q16947036) URL New York City (Q60) ? 1911 Encyclopædia Britannica (Q867541) with qualifier reference URL (P854) with value "http://www.theodora.com/encyclopedia/n/new_york_city.html" According to statements in the property: Vladimir K. Zworykin (Q296545) ? Brockhaus Enzyklopädie (19 ed.) (Q17377889) New York City (Q60) ? Brockhaus and Efron Encyclopedic Dictionary (Q602358) and Encyclopædia Britannica (Q455) When possible, data should only be stored as statements	Item
P1340	colo(u)r of a person's eyes	eye color (Q23786)	people	eye color (Q23786) : one of those items. Overview: reasonator (note: this should be moved to the property statements)	According to this template: Linda Evangelista (Q192171): blue-green According to statements in the property: Linda Evangelista (Q192171) ? blue-green (Q16939403) When possible, data should only be stored as statements	Item
P1582	links a natural product with its source (animal, plant, fungal, algal, etc)	null	all	all (note: this should be moved to the property statements)	According to this template: Zinfandel wine (Q17329207) => Zinfandel (Q204433) ; ambergris (Q188774) => Physeter macrocephalus (Q81214) ; penicillin (Q12190) => Penicillium (Q843136) ; linseed oil (Q818405) => Linum usitatissimum (Q45108) According to statements in the property: sunflower oil (Q94787) ? Helianthus annuus (Q171497) Zinfandel wine (Q17329207) ? Zinfandel (Q204433) ambergris (Q188774) ? Physeter macrocephalus (Q81214) penicillin (Q12190) ? Penicillium (Q843136) linseed oil (Q818405) ? Linum usitatissimum (Q45108) When possible, data should only be stored as statements	Item
P1462	organisation that defined the standard	standards organization (Q1328899)	technical standard (Q317623)	any item that represents a standards body (note: this should be moved to the property statements)	According to this template: HTML (Q8811) => World Wide Web Consortium (Q37033), XHTML (Q166074) => World Wide Web Consortium (Q37033), According to statements in the property: HTML (Q8811) ? World Wide Web Consortium (Q37033) XHTML (Q166074) ? World Wide Web Consortium (Q37033) When possible, data should only be stored as statements	Item
P272	Company or companies that are credited as having produced this film. For people who serve in the role of "producers", rather use producer (P162).	production company (Q11396960)	work (Q386724)	company (Q783794), preferably film production company (Q1762059) (note: this should be moved to the property statements)	According to this template: Bambi (Q43051) => The Walt Disney Company (Q7414), Batman Begins (Q166262) => Warner Bros. (Q126399), Toy Story (Q171048) => Pixar (Q127552) According to statements in the property: Bambi (Q43051) ? The Walt Disney Company (Q7414) Batman Begins (Q166262) ? Warner Bros. (Q126399) Toy Story (Q171048) ? Pixar (Q127552) When possible, data should only be stored as statements	Item
P150	subdivides into. direct subdivision of an administrative division (may also be relevant for other kinds of items)	null	administrative territorial entity (Q56061)	administrative territorial entity (Q56061) (note: this should be moved to the property statements)	Russia (Q159) ? Moscow (Q649) and Moscow Oblast (Q1697) Vietnam (Q881) ? Ho Chi Minh City (Q1854) People's Republic of China (Q148) ? Beijing (Q956) United Kingdom (Q145) ? England (Q21)	Item
P137	organization that operates the service, facility, ship, aircraft, missile	null	Infrastructure, service	organization (Q43229) (note: this should be moved to the property statements)	Yamanote Line (Q693036) ? East Japan Railway Company (Q499071)	Item
P136	null	genre (Q483394)	work (Q386724)	genre (Q483394) (note: this should be moved to the property statements)	Winter in Wartime (Q794431) ? war film (Q369747)	Item
P138	null	null	Any item	null	camembert (Q131480) ? Camembert (Q217077) Leadville Trail 100 (Q6508804) ? Leadville, Colorado (Q286702) Montréal–Pierre Elliott Trudeau International Airport (Q736627) ? Pierre Trudeau (Q8619) European Union (Q458) ? Europe (Q46) Christianity (Q5043) ? Jesus Christ (Q302) July (Q121) ? Julius Caesar (Q1048) Brittany (Q327) ? Britannia (Q138396) Great Britain (Q23666) ? Britannia (Q138396)	Item
P375	rocket or other vehicle for launching subject payload into space	launch vehicle (Q697175)	spacecraft (Q40218)	types of launch vehicle (Q697175) (note: this should be moved to the property statements)	According to this template: Skylab (Q190776) => Saturn V (Q54363), Rosetta (Q48572) => Ariane 5 (Q18532) According to statements in the property: Skylab (Q190776) ? Saturn V (Q54363) Rosetta (Q48572) ? Ariane 5 (Q18532) When possible, data should only be stored as statements	Item
P495	null	country (Q6256)	films, television series, maybe other creative works	countries (note: this should be moved to the property statements)	Breaking Bad (Q1079) ? United States of America (Q30) mozzarella (Q14088) ? Italy (Q38)	Item
P1339	number of people who were injured in an event, as stated in reliable sources.	null	event (Q1190554): Battles, wars, massacres, disasters, etc.	positive numbers (note: this should be moved to the property statements)	September 11 attacks (Q10806) ? 6000	Number
P135	null	art movement (Q968159)	works, political groups...	movement, group action (Q3533467) (note: this should be moved to the property statements)	According to this template: Max Horkheimer (Q76826) => Frankfurt School (Q151843) According to statements in the property: Max Horkheimer (Q76826) ? Frankfurt School (Q151843) When possible, data should only be stored as statements	Item
P134	null	dialect (Q33384)	language (Q34770)	dialect (Q33384) (note: this should be moved to the property statements)	Japanese (Q5287) ? Kansai dialect (Q1191393) and Shikoku dialect (Q7496609) Finnish (Q1412) ? Southwest Finnish dialect (Q1338317) and Savonian dialects (Q1280059)	Item
P376	astronomic body where the subject (a feature or "place") is located. See also parent astronomical body (P397).	null	landform (Q271669), mainly impact crater (Q55818)	instances of substellar object (Q3132741) or fictional planet (Q2775969) (note: this should be moved to the property statements)	According to this template: <Archimedes (Q634366)> on astronomical body <Moon (Q405)> According to statements in the property: Archimedes (Q634366) ? Moon (Q405) When possible, data should only be stored as statements	Item
P1458	Color index of a star - color index (Q271860). Qualify each value with astronomical filter (P1227) to indicate the corresponding color bands.	color index (Q271860)	instances of astronomical object (Q6999)	real numbers, qualified with astronomical filter (P1227) with any spectral band (Q2882278) pair used in the UBV photometric system (Q129833) (such as B-V colour (Q2668836), see this list of all allowed pairs) (note: this should be moved to the property statements)	Aldebaran color index => 1.54 + qualified with astronomical filter (P1227) => B-V colour (Q2668836) 1.90 + qualified with astronomical filter (P1227) => U-B colour (Q17773035) (note: this should be moved to the property statements)	Number
P1215	apparent magnitude of an astronomical object	apparent magnitude (Q124313)	types of astronomical object (Q6999)	real number (from about -3 to +30) (note: this should be moved to the property statements)	Vega (Q3427) ? 0.03	Number
P1336	very useful item to POV use.	null	instances of geographical object (Q618123)	country, organization, person (note: this should be moved to the property statements)	According to this template: Senkaku Islands (Q29460) located in the administrative territorial entity (P131) Toucheng (Q706299) <claimed by> People's Republic of China (Q148) & Taiwan (Q865) Tonoshiro (Q11579187) <claimed by> Japan (Q17) According to statements in the property: Senkaku Islands (Q29460) ? Toucheng (Q706299) Tonoshiro (Q11579187) ? Japan (Q17) When possible, data should only be stored as statements	Item
P1457	Absolute magnitude of an astronomic object	absolute magnitude (Q159653)	instances of astronomical object (Q6999)	real number (indicate uncertainty with +/-, use half of last available decimal if none provided) (note: this should be moved to the property statements)	102 Miriam (Q11560) => 9.26±0.005  ; Sun (Q525) => 4.83±0.005 (note: this should be moved to the property statements)	Number
P1454	legal form on an organization within the legal framework of its seat country (Inc., LLC, etc.)	type of business entity (Q1269299)	organization (Q43229), juridical person (Q155076)	Gesellschaft mit beschränkter Haftung (Q460178), foundation (Q157031), Établissement public à caractère administratif (Q3244038), Gesellschaft mit beschränkter Haftung (Q460178) and many more (note: this should be moved to the property statements)	Haribo (Q169552) ? GmbH & Co. KG (Q897103)	Item
P1455	link to the article with the works of a person	null	persons	instances of thematic catalog (Q2560570), such as bibliography (Q1631107) (note: this should be moved to the property statements)	According to this template: Leo Tolstoy (Q7243) => Leo Tolstoy bibliography (Q860998) According to statements in the property: Leo Tolstoy (Q7243) ? Leo Tolstoy bibliography (Q860998) When possible, data should only be stored as statements	Item
P1576	typical way of life of an individual, group, or culture	lifestyle (Q32090)	person	mystic (Q12328016) (note: this should be moved to the property statements)	According to this template: Sadegh Hedayat (Q315017) => vegetarian (Q18338317), Alexandra David-Néel (Q230456) => mystic (Q12328016) According to statements in the property: Adolf Hitler (Q352) ? vegetarian (Q18338317) Sadegh Hedayat (Q315017) ? vegetarian (Q18338317) Alexandra David-Néel (Q230456) ? mystic (Q12328016) When possible, data should only be stored as statements	Item
P1697	Vote count for the elections without invalid votes	null	election (Q40231) or referendum (Q43109)	Natural number (note: this should be moved to the property statements)	South Korean presidential election, 2012 (Q82241) ? 30,594,621 (note: this should be moved to the property statements)	Number
P1210	type of supercharger or turbocharger utilized by the engine	null	types of internal combustion engine (Q12757) - internal combustion engines	types of forced induction (Q1949814) (note: this should be moved to the property statements)	According to this template: Gnome-Rhône Mistral Major (Q902691) => supercharger => centrifugal-type supercharger (Q5062748) According to statements in the property: Gnome-Rhône Mistral Major (Q902691) ? centrifugal-type supercharger (Q5062748) When possible, data should only be stored as statements	Item
P1211	type of fuel system utilized by the engine	engine fuel system (Q1786017)	types of combustion engine (Q16058315) - combustion engines	types of engine fuel system (Q1786017) (note: this should be moved to the property statements)	According to this template: Gnome-Rhône Mistral Major (Q902691) => fuel system => carburetor (Q165435) According to statements in the property: Gnome-Rhône Mistral Major (Q902691) ? carburetor (Q165435) When possible, data should only be stored as statements	Item
P1574	exemplar of manuscripts, autographs, incunabula, distinct printed copies	null	mainly for items of Manuskripts, in a lesser degree for items of autographs, inkunabula, distict printed copys of literary works or editions	items of editions or literary works (note: this should be moved to the property statements)	Codex Sinaiticus (Q152962) with Bible (Q1845), New Testament (Q18813), Septuagint (Q29334); Book of Kells (Q204221) with Vulgate (Q131175)+ Vetus Latina (Q170093); Sibyllenbuch fragment (Q7507354) with Sibylline oracles (Q740092); Isaiah scroll (Q1824743) with Isaiah (Q131458) (note: this should be moved to the property statements)	Item
P1571	a superset of the image of a function (Q1806121) of a function or relation	codomain (Q199006)	instances of map (Q370502), function (Q11348), morphism (Q1948412), binary relation (Q130901)	instances of set (Q36161), class (Q217594) (note: this should be moved to the property statements)	According to this template: square function (Q3075175) ? real number (Q12916) According to statements in the property: logarithm (Q11197) ? real number (Q12916) square function (Q3075175) ? real number (Q12916) When possible, data should only be stored as statements	Item
P1570	null	null	null	null	null	null
P140	Religion of a person or organization	religion (Q9174)	persons and organizations	Instances of religions : instance of (P31) = religion (Q9174) (note: this should be moved to the property statements)	Judaism (Q9268), Islam (Q432), Catholicism (Q1841) ... (note: this should be moved to the property statements)	Item
P263	The residence at which heads of state, heads of government, gubernatorial or other senior figures officially reside. - official residence (Q481289)	null	person or position (Q4164871)	building (Q41176) of any type, with use = official residence (Q481289) (note: this should be moved to the property statements)	President of Germany (Q25223) ? Bellevue Palace (Q317091) Shimon Peres (Q57410) ? Beit HaNassi (Q2894046)	Item
P166	Notable awards attributed to the subject. Qualify with point in time (P585), if possible.	award (Q618779)	person, organisation or creative work	award (Q618779) (note: this should be moved to the property statements)	Jehan Sadat (Q212190) ? Pearl S. Buck Award (Q20879923) Aaron Swartz (Q302817) ? EFF Pioneer Award (Q31323) Rolf Stengård (Q22676744) ? Prix Europa (Q1421817)	Item
P287	Designer of an item	designer (Q5322166)	fashion, vehicles, software etc. - artefact (Q8205328) or product (Q2424752)	persons or organization (Q43229) (note: this should be moved to the property statements)	According to this template: iPhone (Q2766) => Jonathan Ive (Q164750) According to statements in the property: iPhone (Q2766) ? Jonathan Ive (Q164750) When possible, data should only be stored as statements	Item
P286	On-field manager or head coach of the sports club. Not to be confused with a general manager [ general manager (Q1210069) ], which is not a coaching position.	sports coach (Q41583)	sports club (Q847017)	Persons (note: this should be moved to the property statements)	According to this template: Montreal Canadiens (Q188143) => Michel Therrien (Q326943) According to statements in the property: Montreal Canadiens (Q188143) ? Michel Therrien (Q326943) When possible, data should only be stored as statements	Item
P289	Vessel class (ship class, submarine class or spacecraft class) to which a vessel belongs. This property is the main indicator for large vessels; it triggers multiple constraint validations (listed below). Part of WikiProject Ships properties Showcase ship class item: Nelson-class battleship (Q1329840)	vessel class (Q19832479)	vessel (Q16391167), most generally ship (Q11446)	instances of ship class (Q559026), types of ship (Q11446) (note: this should be moved to the property statements)	Costa Serena (Q1136377) ? Concordia-class cruise ship (Q1124097) USS Enterprise (Q834003) ? Constitution-class starship (Q3265302)	Item
P167	Buildings are demolished and replaced by new buildings (or other entities, e.g. a park). Use to specify the structure(s) which replaced this one.	null	architectural structure (Q811979)	architectural structure (Q811979) (note: this should be moved to the property statements)	Southwark Towers, in London, was replaced by The Shard. (note: this should be moved to the property statements)	Item
P1326	Qualifier marking the latest possible date of the statement where the actual date is unknown (ie. the upper bound of a specified period). Similar to end time (P582) but that isn't quite right for this usage.	null	human (Q5), event (Q1656682), intellectual work (Q15621286)	As standard of time/date properties. (note: this should be moved to the property statements)	Christopher Columbus (Q7322) => date of birth (P569): Unknown value => Latest date: 30 October 1451; Isaac Asimov (Q34981) => date of birth (P569): Unknown value => Latest date: 2 January 1920 (note: this should be moved to the property statements)	Point in time
P1568	the set of argument values for which the function has a value or the relation has at least one value	domain of a function (Q192439)	instances of map (Q370502), function (Q11348), morphism (Q1948412), binary relation (Q130901)	instances of set (Q36161), class (Q217594) (note: this should be moved to the property statements)	square function (Q3075175) ? real number (Q12916)	Item
P1689	Amount of central government debt divided by the GDP of the country	government debt (Q12695)	Countries, regions and cities	A positive percentage (note: this should be moved to the property statements)	Australia (Q408) ? 40.5 percentage	Number
P1327	the person the subject person has/does partner with in their profession or sport	null	person	null	Jamie Salé (Q435022) ? David Pelletier (Q681877) james watson radikal (Q83333) ? Francis Crick (Q123280)	Item
P1569	null	null	null	null	null	null
P1445	to link a fictional universe with a work that describes it: <universe> "described in the work:" <work>	null	fictional universe (Q559618)	instances of work (Q386724) (note: this should be moved to the property statements)	According to this template: Serenityverse (Q17376102) => Firefly (Q11622) According to statements in the property: Serenityverse (Q17376102) ? Firefly (Q11622) When possible, data should only be stored as statements	Item
P1446	number of people reported missing as a result of this event - qualify with point in time (P585). See also number of deaths (P1120) and number of injured (P1339).	null	earthquake (Q7944) and other disasters, wars, etc.	whole numbers (note: this should be moved to the property statements)	2013 Lushan earthquake (Q11547847) ? 23	Number
P1201	????????? ????, ??????? ???????? ??????????? ??????? ?? ??????? ??????/upper stage that brought the spacecraft to its target orbit	null	??????????? ????????/spacecraft	???? ?? ???????????? ????????? ??????/existing upper stage (note: this should be moved to the property statements)	According to this template: Spektr-R (Q837749) => Fregat (Q1453740) According to statements in the property: Spektr-R (Q837749) ? Fregat (Q1453740) When possible, data should only be stored as statements	Item
P1322	dual of a polytope, graph or curve	duality (Q735346)	polytope (Q747980), curve (Q161973), planar graph (Q547823) and perhaps more.	direct or indirect subclass of domain, both items have same dimension. items may be self-dual. (note: this should be moved to the property statements)	cube (Q812880)	Item
P1202	scientific instrument (Q3099911) : The instruments that a vessel carries and that are not required for propelling and navigating	null	vehicle (Q42889) - satellites, intelligence aircraft, scientific vessels, ...	instruments - instances of device (Q1183543) that are scientific instrument (Q3099911) (note: this should be moved to the property statements)	According to this template: Gaia (Q767805) => RVS (Q15912416) According to statements in the property: Gaia (Q767805) ? RVS (Q15912416) When possible, data should only be stored as statements	Item
P1444	intended destination for this journey, flight, sailing, exploration, etc.	null	geographic location (Q2221906)	any geographic location, e.g. airport, city, island, etc. (note: this should be moved to the property statements)	According to this template: sample items that would use that property, with proposed values; example: Iran Aseman Airlines Flight 6895 (Q741126) => Tehran Imam Khomeini International Airport (Q734729) According to statements in the property: 2013 Vuelta a España, Stage 12 (Q14702221) ? Tarragona (Q15088) Sinking of the MV Sewol (Q16338015) ? Port of Jeju (Q12616503) When possible, data should only be stored as statements	Item
P1441	creative work in which this fictional entity is present	null	any type of fictitious entity (Q14897293) : fictional character (Q95074), fictional location (Q3895768), fictional object (Q15706911)…	work (Q386724) (note: this should be moved to the property statements)	Irina Nikolayevna Arkadina (Q15910989) ? The Seagull (Q650063) Frodo Baggins (Q177329) ? The Lord of the Rings (Q15228)	Item
P1200	????????? ???????? ????, ??? ?????????????? ??????? ? ???????? (ru) – (Please translate this into English.)	null	????, ??? ??????? ?????????? ?? ????????? ????????	? ????????? ?????? ? ????? ????????????? ???????? ????????? (note: this should be moved to the property statements)	Danube (Q1653) ? Category:Danube basin (Q6718182) Rivière du Mât (Q3433924) ? no label (Q23778336)	Item
P1321	"Lieu d'origine/Heimatort/Luogo d’origine" of a Swiss citizen. Not to be confused with place of birth, domicile or residence.	place of origin (Q1021360)	Swiss nationals	one or several municipalities of Switzerland (current or former) (note: this should be moved to the property statements)	According to this template: Gustave Ador: Geneva [1][2][3] and Vuiteboeuf [4] According to statements in the property: Gustave Ador (Q115592) ? Geneva (Q71) When possible, data should only be stored as statements	Item
P1560	female version of a male given name, male version of a female given name. Add primarily the closest matching one.	null	given names	given names for other gender (note: this should be moved to the property statements)	According to this template: Riccardo (Q15720880) given name version for other gender Riccarda (Q18000607) According to statements in the property: Riccardo (Q15720880) ? Riccarda (Q18000607) When possible, data should only be stored as statements	Item
P1561	number of people surviving an incident. Paralell to number of deaths (P1120)	null	aviation accident (Q744913) and other incidents, etc.	whole numbers (note: this should be moved to the property statements)	Essing bridge accident (Q10489191) => 1 (note: this should be moved to the property statements)	Number
P172	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as	ethnic group (Q41710)	Persons	null	According to this template: Karl Marx (Q9061) => Jewish people (Q7325), Yasser Arafat (Q34211) => Arab (Q35323), Nikita Khrushchev (Q35314) => Russians (Q49542), Huang Xianfan (Q5208) => Zhuang people (Q36692), Mahatma Gandhi (Q1001) => Gujarati people (Q1282294) According to statements in the property: Karl Marx (Q9061) ? Jewish people (Q7325) Yasser Arafat (Q34211) ? Arab (Q35323) Nikita Khrushchev (Q35314) ? Russians (Q49542) Huang Xianfan (Q5208) ? Zhuang people (Q36692) Mahatma Gandhi (Q1001) ? Gujarati people (Q1282294) When possible, data should only be stored as statements	Item
P175	Group, solo artist, orchestra, that recorded the song, the album or performed at the event	performer (Q16010345)	work (Q386724): album, song, event...	persons or musical ensemble (Q2088357) (note: this should be moved to the property statements)	single (Q134556) : Imagine (Q1971) => John Lennon (Q1203) album (Q482994) : Let It Be (Q199585) => The Beatles (Q1299) concert tour (Q1573906) : Bad (Q44508) => Michael Jackson (Q2831) (note: this should be moved to the property statements)	Item
P171	next higher taxon according to a certain taxonomic viewpoint. As multiple taxonomic viewpoints exist, more than one parent taxon is possible.	taxon (Q16521)	taxon (Q16521)	taxon (Q16521) (note: this should be moved to the property statements)	According to this template: dog (Q144) => gray wolf (Q18498), domestic pig (Q787) => wild boar (Q58697), Plant (Q756) => Eukaryote (Q19088), butterfly (Q11946202) => Lepidoptera (Q28319), Common Raven (Q25357) => Corvus (Q43365) According to statements in the property: dog (Q144) ? gray wolf (Q18498) domestic pig (Q787) ? wild boar (Q58697) Plant (Q756) ? Eukaryote (Q19088) butterfly (Q11946202) ? Lepidoptera (Q28319) Common Raven (Q25357) ? Corvus (Q43365) When possible, data should only be stored as statements	Item
P170	null	creator (Q2500638)	null	null	The Potato Eaters (Q154469) ? Vincent van Gogh (Q5582)	Item
P291	null	null	null	null	null	null
P159	Location of an organization's head office - headquarters (Q7540126) For administrative territorial entities use capital (P36).	headquarters (Q7540126), siège social (Q7533476), seat (Q470540)	organization (Q43229)	geographic location (Q2221906) (note: this should be moved to the property statements)	OPEC (Q7795) ? Vienna (Q1741) Wikimedia Foundation (Q180) ? San Francisco (Q62) Royal Dutch Shell (Q154950) ? The Hague (Q36600) Santos Futebol Clube (Q7420622) ? João Pessoa (Q167436)	Item
P1319	Qualifier marking the earliest possible date of the statement where the actual date is unknown (ie. the lower bound of a specified period). Similar to start time (P580) but that isn't quite right for this usage.	null	human (Q5), event (Q1656682)	As standard of time/date properties. (note: this should be moved to the property statements)	Christopher Columbus (Q7322) => date of birth (P569): Unknown value => Earliest date: 31 October 1450; Isaac Asimov (Q34981) => date of birth (P569): Unknown value => Earliest date: 4 October 1919 (note: this should be moved to the property statements)	Point in time
P155	Item that comes before the current one, in a sequence, e.g. for series/sequels of books or films. Can be used as qualifier on a statement describing a series. Use in combination with followed by (P156). See also replaces (P1365) and replaced by (P1366).	null	generic	item of the same nature (note: this should be moved to the property statements)	According to this template: The Two Towers (Q332388) series (P179) => The Lord of the Rings (Q15228) The Two Towers (Q332388) follows (P155) => The Fellowship of the Ring (Q208002) Barack Obama (Q76) position held (P39) => President of the United States of America (Q11696) qualifier follows (P155) => George W. Bush (Q207) According to statements in the property: The Empire Strikes Back (Q181795) ? Star Wars Episode IV: A New Hope (Q17738) April (Q118) ? March (Q110) The Two Towers (Q332388) ? The Fellowship of the Ring (Q208002) When possible, data should only be stored as statements	Item
P276	location the item, object or event is within. Qualify with start time (P580) and end time (P582) as appropriate.	location (Q17334923)	any object or event that can be located	any instance or subclass of location (Q17334923) (note: this should be moved to the property statements)	Mona Lisa (Q12418) ? Louvre (Q19675) The Starry Night (Q45585) ? Museum of Modern Art (Q188740) The Night Watch (Q219831) ? Rijksmuseum (Q190804) Great Smog (Q913640) ? London (Q84) Battle of the Hornburg (Q1764229) ? Helm's Deep (Q1641279) The Dutch mill (Q2611643) ? Neede (Q1350047) no label (Q4497840) ? Chios Strait (Q5101461)	Item
